day,total_revenue,daily_revenue,30_days_ma_revenue,90_days_ma_revenue,180_days_ma_revenue
2024/05/10,491.1735265742761,2.8433712583242254,0.892838070118008,5.4566729432221415,5.225250027315787
2024/05/11,491.5764550252292,0.4029284509531408,0.9024457819814662,5.460221807182348,5.1744887475646015
2024/05/12,491.98340571647464,0.40695069124541305,0.9027456379519644,5.46474313939953,5.124826892811277
2024/05/13,492.17157405345597,0.1881683369813345,0.8896168379900549,5.461764243544371,5.073933505637772
2024/05/14,492.61886656264534,0.44729250918936714,0.8475225842204831,5.466732948104577,5.026722883225033
2024/05/15,493.2779502430865,0.6590836804411424,0.8514779793534653,5.47376721412493,4.9826053155201455
2024/05/16,493.77486574663226,0.49691550354577885,0.8609553145250857,5.4792839602653025,4.937748417400402
2024/05/17,494.8241831687507,1.0493174221184631,0.8847234567723964,5.487839213104739,4.899249100615433
2024/05/18,498.7048371546119,3.8806539858611586,0.9956156977080146,5.424064954631442,4.889262874000194
2024/05/19,500.257376500374,1.5525393457621135,1.0399482836410565,5.136959345659776,4.85686749993963
2024/05/20,501.30438848485096,1.047011984476967,1.0635186940192076,5.040018746046304,4.820234273829413
2024/05/21,501.5110755597517,0.20668707490074212,1.0215145095360962,4.9298221902303325,4.77629572907771
2024/05/22,502.08873820829143,0.5776626485397287,1.0340171653246633,4.776097072731947,4.736685983034899
2024/05/23,502.17338038116844,0.08464217287701103,1.035023871746851,4.7466819641381415,4.693208938080153
2024/05/24,505.68468834718686,3.511307966018421,1.1377417004929138,4.757096986931978,4.682265410561063
2024/05/25,507.4344348170647,1.7497464698778344,1.1800191345115272,4.772956953086689,4.655361567068557
2024/05/26,508.7188646973455,1.2844298802808112,1.2136533751513336,4.780014480518503,4.624716733552304
2024/05/27,510.26656457316915,1.547699875823639,1.236557149712589,4.721485141095405,4.596995860960154
2024/05/28,512.4630864890612,2.196521915892049,1.2979461957724652,4.69732545773835,4.575563057879188
2024/05/29,513.2032863070234,0.7401998179622069,1.2953394125177624,4.691516147677101,4.5416217902693035
2024/05/30,513.5396032429644,0.33631693594099943,1.2536671780436184,4.631556841295966,4.504733151196248
2024/05/31,513.6207323496398,0.08112910667534834,1.2420440439151208,4.592786404576592,4.4662670290699795
2024/06/01,513.7379951032898,0.11726275365003858,1.2353257183620674,4.562408518633858,4.428775612902567
2024/06/02,513.7627179502732,0.02472284698342264,1.2335154453642039,4.530136993544071,4.391134136270779
2024/06/03,515.7170249575931,1.954307007319926,1.2630315171204964,4.525275985518615,4.370483058906789
2024/06/04,515.7732596977614,0.056234740168292774,1.2473450904750318,4.473125151519315,4.334228871354364
2024/06/05,516.5612528641916,0.7879931664301694,1.1909466223577094,4.411821152290587,4.304676907146662
2024/06/06,516.6027937507106,0.04154088651898746,1.1093225145953929,4.2582614144393585,4.269444378050566
2024/06/07,517.2753684094412,0.6725746587305821,0.9945553495454249,4.072669564842914,4.2399618393676155
2024/06/08,517.8464399375297,0.5710715280885097,0.9838761540525941,3.882433855481307,4.210133462853151
2024/06/09,517.8995468973234,0.05310695979369484,0.8908673441015764,3.2389276028949054,4.176609055570414
2024/06/10,518.8085472162064,0.9090003188830451,0.9077364063659066,2.7766012904671578,4.150468185676915
2024/06/11,523.1597080602165,4.35116084401011,1.0392100781247298,1.8540902397815235,4.152060984552575
2024/06/12,524.371171282505,1.2114632222884438,1.0733199076349669,1.1577387019108276,4.128906671463882
2024/06/13,526.1064987153402,1.73532743283522,1.1162544050898286,0.6930748228385603,4.110206833662095
2024/06/14,526.210771727825,0.10427301248478216,1.09776071615795,0.6940671197023688,4.079153083110333
2024/06/15,530.8995946894687,4.688822961643723,1.2374909647612147,0.7456494925422343,4.083842851406743
2024/06/16,533.3443420466926,2.444747357223946,1.2840052959313975,0.7723710593350626,4.071330672061836
2024/06/17,535.4997141804424,2.155372133749779,1.2264959008610181,0.7962348832223515,4.056815834650381
2024/06/18,536.6766638797443,1.176949699301872,1.21397624597901,0.8092258978326843,4.035162705813175
2024/06/19,537.2779852933735,0.6013214136291936,1.1991198936174177,0.8157509542806559,4.009537024528219
2024/06/20,582.7103468391159,45.432361545742424,2.706642375978807,1.3204982952578797,4.316372761722399
2024/06/21,647.8847287536372,65.17438191452129,4.859866351511526,2.0444520819247844,4.763858123140038
2024/06/22,799.5272001211206,151.64247136748338,9.911793991331738,3.729276808460734,5.835964789157142
2024/06/23,926.764991946102,127.2377918249814,14.036010119963837,5.142987847629214,6.715688173474709
2024/06/24,1035.6085662024311,108.84357425632913,17.605804379512215,6.352311933832147,7.4504211668765405
2024/06/25,1142.7188709678283,107.11030476539713,21.133333542349426,7.542376433788021,8.162277478294543
2024/06/26,1286.4224147868063,143.703543818978,25.871861673787905,9.139021392448068,9.123563055178824
2024/06/27,1421.798814500497,135.37639971369072,30.311190933714524,10.643125090085315,10.012667538689472
2024/06/28,1524.5697033147685,102.77088881427153,33.71221390025817,11.784808207604675,10.661326428728508
2024/06/29,1600.40240993116,75.83270661639153,36.228760222939854,12.627224930934501,11.113905457809501
2024/06/30,1667.5983894319152,67.19597950075513,38.465921902742515,13.373612903366164,11.500678382243608
2024/07/01,1724.304652674275,56.70626324235991,40.352221919032836,14.003486349773848,11.810305675806049
2024/07/02,1746.9027995485922,22.59814687431708,41.10466938661063,14.254188252267614,11.883692350625852
2024/07/03,1759.7049255099748,12.802125961382671,41.46626335174606,14.396022043074403,11.889897983130965
2024/07/04,1766.3597781469612,6.654852636986334,41.68621728163999,14.46958203682598,11.854763450606505
2024/07/05,1772.5568461266769,6.197067979715712,41.86651977541617,14.53798702940016,11.817045480800564
2024/07/06,1778.1352356607633,5.578389534086455,42.05108139700176,14.599417233841278,11.775729878504444
2024/07/07,1784.6304912979433,6.49525563717998,42.245170762950075,14.671103050781635,11.740989916390468
2024/07/08,1792.7154424621774,8.084951164234099,42.495633417488264,14.760352004055,11.717094238271798
2024/07/09,1810.0544708203577,17.339028358180258,43.07183079743448,14.951845403884686,11.75360030398549
2024/07/10,1823.4142480738003,13.359777253442644,43.48685669525313,15.099012961200168,11.763962735917472
2024/07/11,1834.3318250930106,10.917577019210285,43.705737234426465,15.215897650167722,11.758537186451402
