tx_hash,liquidator_address,collateral_redeemed,number_of_collateral_redeemed_tokens,ern_redeemed,collateral_fee,timestamp,block_number
0xb1dd350fa4ff5b62ddbcdfa5e1b562664968c14e6bbdd4d08b3314479b4a0595,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.787275947241162e+17,1349085486238256841876,7346721320061258.0,1711666610,61768149
0x127e26dd8bf467ee3c0179927691424bea389df0c9e8a86b1c85c933b5f1bcea,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.188929584544248e+17,1494829994564387559365,6396477363445371.0,1711613926,61741807
0x70f69da01fc21f1da2f5fcae0c7fea14bc7a8d536b9eeb7c9f2aa582f7b5ffd4,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.595582453390082e+17,1613526048996159915639,7330734475329602.0,1711580372,61725030
0xb5f3c18000b7c7cb39dc5b2a101eacb2cb5c297e46c4f0cfb9a1f941cdc4c847,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.775424020348176e+17,1335963977735876274031,6037695601712153.0,1711550288,61709988
0x2986f95a04b67a2f6c5781c0e8692b5d16f9e12dd3f65832e69363e683f14dd9,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.3667700827109114e+17,1218603003788128401234,5096980710780388.0,1711501918,61685803
0xb2de5f5744756c4e1dc9848f826612a0703785399f951c9c0f915d039c90a929,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.168841809684261e+17,1432165190547640659479,4471859315650895.0,1711336044,61602866
0x89dd36e2a75375c503a750a694ba1b19f64065e1ff8e832f94f63449f1dce7bf,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,4.966567514974881e+17,1671632394487700515494,5227610646635647.0,1711274604,61572146
0xe70c22f9bd263b0bad512fa604640948a9d76912fde6c5e3ed0183e4f96a99d0,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.543256252104539e+17,851620037693463733871,2585023770265405.0,1711188000,61528844
0x6b06c8d587375b85561ed0833591512fcb665a381cfc2ea5a113547a3c577362,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,9.190346273344365e+16,314835449843184058207,767328320970299.0,1711117310,61493499
0xcda2d6ba2ae69ce099316b9695965b2c60be30044e5f93ebfab64d8bf3e16410,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.16129e+17,1.06199e+21,4210790000000000.0,1710962832,61416260
0xdb13e0834210cc4fa7a3f2a7b049c0c0669584876d31e63ba0c9a4113c3137a3,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.96647e+17,6.42737e+20,4883260000000000.0,1710837994,61353841
0x5786d93639351467bfd6119887d7a4e5ecb8d7cd5e816bf516f1f12c6868a0d2,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.8394e+17,1.34833e+21,1.28049e+16,1710784592,61327140
