,contract_address,minute,price,symbol
1889,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 14:58:00.000 UTC,1.035379,USDY
1890,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:00:00.000 UTC,1.035376,USDY
1891,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 15:00:00.000 UTC,62372.13,WBTC
1892,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:00:00.000 UTC,1.076298,MNT
1893,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:00:00.000 UTC,1.076298,MNT
1894,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 15:00:00.000 UTC,1.00134,USDC
1895,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:00:00.000 UTC,1.076298,MNT
1896,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 15:00:00.000 UTC,3135.01,mETH
1897,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 15:00:00.000 UTC,1.001565,USDT
1898,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 15:00:00.000 UTC,1.000313,DAI
1899,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 15:00:00.000 UTC,3056.81,WETH
1900,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:02:00.000 UTC,1.035376,USDY
1901,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:04:00.000 UTC,1.035376,USDY
1902,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:05:00.000 UTC,1.077415,MNT
1903,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:05:00.000 UTC,1.077415,MNT
1904,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:06:00.000 UTC,1.034655,USDY
1905,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:08:00.000 UTC,1.034655,USDY
1906,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 15:10:00.000 UTC,3136.49,mETH
1907,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 15:10:00.000 UTC,1.002271,USDT
1908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 15:10:00.000 UTC,3059.92,WETH
1909,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 15:10:00.000 UTC,1.001068,DAI
1910,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 15:10:00.000 UTC,1.00188,USDC
1911,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:10:00.000 UTC,1.036076,USDY
1912,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:10:00.000 UTC,1.083811,MNT
1913,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:10:00.000 UTC,1.083811,MNT
1914,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:10:00.000 UTC,1.083811,MNT
1915,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 15:10:00.000 UTC,62469.92,WBTC
1916,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:12:00.000 UTC,1.036076,USDY
1917,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:14:00.000 UTC,1.036076,USDY
1918,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:15:00.000 UTC,1.082397,MNT
1919,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:15:00.000 UTC,1.082397,MNT
1920,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:16:00.000 UTC,1.035365,USDY
1921,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:18:00.000 UTC,1.035365,USDY
1922,0x96f6ef951840721adbf46ac996b59e0235cb985c,2024-04-16 15:20:00.000 UTC,1.035768,USDY
1923,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:20:00.000 UTC,1.085441,MNT
1924,0x6b175474e89094c44da98b954eedeac495271d0f,2024-04-16 15:20:00.000 UTC,1.001828,DAI
1925,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2024-04-16 15:20:00.000 UTC,62331.1,WBTC
1926,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-16 15:20:00.000 UTC,1.001401,USDC
1927,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-16 15:20:00.000 UTC,1.001932,USDT
1928,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-04-16 15:20:00.000 UTC,1.085441,MNT
1929,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2024-04-16 15:20:00.000 UTC,3048.24,WETH
1930,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,2024-04-16 15:20:00.000 UTC,3125.4,mETH
