tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,contract_type,block_number
0x25a93e2c49b25998567e8f56fd32726f25afd9b3b7c9af4b9a982db6adca9bbe,0x868CBfd33ec93B451c510125E4D9f1AB1E42fcD2,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,0.0,0,3,1710681010,trove_manager,61275349
0x25a93e2c49b25998567e8f56fd32726f25afd9b3b7c9af4b9a982db6adca9bbe,0x16ef04260Ca959C75bd8d4247874517c9cF74d12,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3.592748392203179e+18,9814432728316035133656,3,1710681010,trove_manager,61275349
0xccdd9df1a56dc486b7079808f1d2f183067acd326e723ae4288fc4d2a3786f8d,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.7124180368375497e+19,46859867344585411319333,3,1710687572,trove_manager,61278630
0xb60cc6ae1a1e1749045cc98aff8942e5340cadaaef1dbf3b52b882d8f867f8b0,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.692685110222046e+19,46146483568228056458535,3,1710693234,trove_manager,61281461
0x5c27b5f0f0e6db42b9a65d61f317c515dcc123f23c40e614251fb177bf1ea5fe,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.8844523223201608e+19,52955905329546635006733,3,1710616190,trove_manager,61242939
0x9bde907388ff4e2fb6f40af2b11c8b82bc0a3f2a65e1b47761c83585ba9782c6,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.8615137405408776e+19,52146793674927827699847,3,1710631682,trove_manager,61250685
0xdac30111fc96a6a5e21d6780780599cb1750943c3efc22576d9e157a436315b3,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.844815421028245e+19,51558632315127280676012,3,1710632500,trove_manager,61251094
0x82abd926643b4db01f243be237b1f978e9c8540a018bb2c4c54a0e5eed6aed5c,0xe0e67FE9E2C8dcBAF91ef04a9A39211bcEdd3c7F,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,0.0,0,3,1710633748,trove_manager,61251718
0x82abd926643b4db01f243be237b1f978e9c8540a018bb2c4c54a0e5eed6aed5c,0x290d54222c1a188ad9533Da06bEEEbe71286382a,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1.9737009465387267e+17,67318994573806215093,3,1710633748,trove_manager,61251718
0x67152a36860ba819c49ec5ad0a8f13dc3a9db5f0818b54bbea95d8785e0e24d1,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1.803035336332104e+19,50077978242381147584611,3,1710637704,trove_manager,61253696
0x2cce216c90fea07430fe0176c3dc36aee5199f5b7d4b65e276ef70570e742666,0x2Bf3712ba246AAa2D6A8e132E7c054672fc0B17B,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,2.7131936131291766e+18,7595402953302635436773,3,1710578926,trove_manager,61224307
0xf63ee8dc9a6a29a32b2deb3f9d7dd27a39067a9202d8496eb70967f3d0ef857b,0x3818878704e19e3801bE830fDD9B993d8F31aa3D,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,2.322609582520657e+20,63529119163504284228,3,1710583898,trove_manager,61226793
0x154d6283fa4c69af46d28fdfc4944aee85c3fda726fb6e315ad4f396903794f2,0xcE29cEc7552ab3c9Cf5264Ed96081c2804C3ef07,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,5.249587059884351e+18,9232310127196464631354,3,1710589524,trove_manager,61229606
